Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
     1.540E-3	     0.0000	      1.540E-3	     0.0000
     1.544E-3	     0.0000	      1.544E-3	     0.0000
     1.548E-3	     0.0000	      1.548E-3	     0.0000
     1.552E-3	     0.0000	      1.552E-3	     0.0000
     1.556E-3	     0.0000	      1.556E-3	     0.0000
     1.560E-3	     0.0000	      1.560E-3	     0.0000
     1.564E-3	     0.0000	      1.564E-3	     0.0000
     1.568E-3	      80.00E-3	      1.568E-3	     0.0000
     1.572E-3	      80.00E-3	      1.572E-3	     0.0000
     1.576E-3	     0.0000	      1.576E-3	     0.0000
     1.580E-3	      80.00E-3	      1.580E-3	     0.0000
     1.584E-3	     0.0000	      1.584E-3	     0.0000
     1.588E-3	     0.0000	      1.588E-3	      80.00E-3
     1.592E-3	     0.0000	      1.592E-3	     0.0000
     1.596E-3	      80.00E-3	      1.596E-3	     0.0000
     1.600E-3	     0.0000	      1.600E-3	     0.0000
     1.604E-3	     0.0000	      1.604E-3	     0.0000
     1.608E-3	     0.0000	      1.608E-3	      80.00E-3
     1.612E-3	     0.0000	      1.612E-3	     0.0000
     1.616E-3	     0.0000	      1.616E-3	     0.0000
     1.620E-3	      80.00E-3	      1.620E-3	     0.0000
     1.624E-3	      80.00E-3	      1.624E-3	      80.00E-3
     1.628E-3	      80.00E-3	      1.628E-3	      80.00E-3
     1.632E-3	      80.00E-3	      1.632E-3	     0.0000
     1.636E-3	     0.0000	      1.636E-3	     0.0000
     1.640E-3	     0.0000	      1.640E-3	     0.0000
     1.644E-3	     0.0000	      1.644E-3	     0.0000
     1.648E-3	      80.00E-3	      1.648E-3	     0.0000
     1.652E-3	     0.0000	      1.652E-3	     0.0000
     1.656E-3	      80.00E-3	      1.656E-3	      80.00E-3
     1.660E-3	     0.0000	      1.660E-3	      80.00E-3
     1.664E-3	     0.0000	      1.664E-3	     0.0000
     1.668E-3	     0.0000	      1.668E-3	      80.00E-3
     1.672E-3	     0.0000	      1.672E-3	     0.0000
     1.676E-3	     0.0000	      1.676E-3	      80.00E-3
     1.680E-3	     0.0000	      1.680E-3	     0.0000
     1.684E-3	      80.00E-3	      1.684E-3	      80.00E-3
     1.688E-3	      80.00E-3	      1.688E-3	     0.0000
     1.692E-3	      80.00E-3	      1.692E-3	     0.0000
     1.696E-3	     0.0000	      1.696E-3	     0.0000
     1.700E-3	     0.0000	      1.700E-3	     0.0000
     1.704E-3	      80.00E-3	      1.704E-3	     0.0000
     1.708E-3	      80.00E-3	      1.708E-3	     0.0000
     1.712E-3	     0.0000	      1.712E-3	     0.0000
     1.716E-3	     0.0000	      1.716E-3	     0.0000
     1.720E-3	     0.0000	      1.720E-3	     0.0000
     1.724E-3	     0.0000	      1.724E-3	      80.00E-3
     1.728E-3	     0.0000	      1.728E-3	     0.0000
     1.732E-3	     0.0000	      1.732E-3	     0.0000
     1.736E-3	     0.0000	      1.736E-3	      80.00E-3
